# Richness,Mass_Mpc,MassError_Mpc
5.299538037717871930e+01,2.254882216440998125e+14,8.036000202593109375e+13
3.897207437102136396e+01,2.335965069302777500e+14,1.003618549028480312e+14
5.023896080047809676e+01,2.425729590012987188e+14,8.906792713784692188e+13
3.077938243963657428e+01,9.194819484333673438e+13,4.674944997307454688e+13
2.678619494120799516e+01,9.617903250552939062e+13,5.452783528567422656e+13
3.163300596034693157e+01,1.623221587826326875e+14,8.084681231058945312e+13
3.490477520072941076e+01,1.556177220467202188e+14,7.213809897087215625e+13
2.982561692678561727e+01,1.273844490093707656e+14,6.634312409951051562e+13
2.643785371198330125e+01,7.829140262722029688e+13,4.486053168750167969e+13
2.594140464196177120e+01,1.161262394766985781e+14,6.757829938375698438e+13
1.953862439260537087e+02,1.529424644997496500e+15,3.527010693096403125e+14
5.252736008672508206e+01,1.847208542154450938e+14,6.615332374432218750e+13
2.704708015480715133e+01,8.322573504327942188e+13,4.681631733414900000e+13
2.764952990320606929e+01,1.064119615279545938e+14,5.881128591363857031e+13
3.359151993151428428e+01,1.320550206865385312e+14,6.292445257875621875e+13
3.760085353502064009e+01,1.892268672488410000e+14,8.328875829458659375e+13
2.502763052197349580e+01,2.354586855436939062e+14,1.411452559889787812e+14
2.949606444335777056e+01,1.816185275593066875e+14,9.540364757409081250e+13
9.158376798141574682e+01,8.966763029684302500e+14,2.501049941189893750e+14
3.259938611186488089e+01,1.247236801838687812e+14,6.074796054828293750e+13
1.343991142201003299e+02,7.263702324831908750e+14,1.807674406629305938e+14
3.047568712069758945e+01,2.028058542329722188e+14,1.038932296960807344e+14
2.705527568565325680e+01,6.330765505315885156e+13,3.560326685837288281e+13
3.368171614769710942e+01,1.410996204398772188e+14,6.710366881046921875e+13
3.360206849851132205e+01,5.719022332548694531e+13,2.724503830748216016e+13
2.694841960195186559e+01,6.898099542141426562e+13,3.891783013795571875e+13
4.355062654994910787e+01,2.165371575872281562e+14,8.658615318948601562e+13
2.742893176839458746e+01,1.319827923829822500e+14,7.341207341079448438e+13
3.128305681405737815e+01,4.129577852390235625e+14,2.074029358537844062e+14
2.515958935107692795e+01,1.707797728645583438e+14,1.019266587613213281e+14
3.175462972313558652e+01,1.664059038189297188e+14,8.264342724294965625e+13
4.468512623253970162e+01,2.747897494612797188e+14,1.081420473840071406e+14
3.945508534776497811e+01,1.205656706971187969e+14,5.137652906692705469e+13
3.606283765905665462e+01,1.999595545180530625e+14,9.058629245854326562e+13
3.987182732398984797e+01,2.241519663105266562e+14,9.485628977345606250e+13
4.811700851838119064e+01,2.963789277690982500e+14,1.115706511260584844e+14
1.087280301202842168e+02,4.162196133546438125e+14,1.097521474085288906e+14
3.954350658624202453e+01,1.976040687502591875e+14,8.407996518477543750e+13
3.021077368796897744e+01,6.694708628280978125e+13,3.452500711815480859e+13
6.031035992721498218e+01,3.016032429082470000e+14,1.004471327099924688e+14
4.419579811533194658e+01,1.653130324703665938e+14,6.550148778357321875e+13
1.752660724407170676e+02,1.351317551798318500e+15,3.176462427838356875e+14
5.068176302251067256e+01,3.018779878704541250e+14,1.102929803110204844e+14
2.794920710900487038e+01,6.208441098981460938e+13,3.401946619699919922e+13
3.134341311293064791e+01,9.548990997585203125e+13,4.788917279105003125e+13
5.886810260336589096e+01,3.238597691583564375e+14,1.091830974247711875e+14
2.688471476282464678e+01,8.132198540904670312e+13,4.596814043209490625e+13
3.192716568593091253e+01,1.657574832425814375e+14,8.198947619975115625e+13
4.775881922130057688e+01,1.657480879837526250e+14,6.266963120331893750e+13
2.660612203229659656e+01,8.563405760993081250e+13,4.881552089951927344e+13
3.160740435002063720e+01,1.033494274730122031e+14,5.150581447974289844e+13
4.159741695844937936e+01,2.298928182623119688e+14,9.463916282451323438e+13
3.917905266817570009e+01,1.376737695837225469e+14,5.894119982778767969e+13
3.133972227341050143e+01,1.260952258162702812e+14,6.324365062061133594e+13
3.134330630224769010e+01,2.358710295836047188e+14,1.182920522463143750e+14
4.882077409401961887e+01,2.619687680736252812e+14,9.778568828753193750e+13
2.673452421049733374e+01,7.066049490146404688e+13,4.012298608021528906e+13
6.726364491099366205e+01,2.770513963275313125e+14,8.757056130762243750e+13
6.698967725387848304e+01,2.657658342696929062e+14,8.416120534806335938e+13
2.681124755776496116e+01,3.024123762237141406e+13,1.713203741559891211e+13
2.571786393302075879e+01,1.334821003375518438e+14,7.823286014681064062e+13
2.921015298114457437e+01,7.832581055328937500e+13,4.145642514497654688e+13
2.817849546815973127e+01,1.340865742589940781e+14,7.299934771446134375e+13
4.217336783452098814e+01,8.435579143306904688e+13,3.442216578508385156e+13
3.859219943680512444e+01,2.204063314772730000e+14,9.531837977703731250e+13
2.651038136109532672e+01,9.192181990863325000e+13,5.255347243205007031e+13
3.119928032187858236e+01,8.198274933121118750e+13,4.125801737851896875e+13
3.464877580987305805e+01,1.733975493094309375e+14,8.080256731943332812e+13
5.959782522006014460e+01,2.344459582113302812e+14,7.854764812620464062e+13
6.160887307341047858e+01,2.306982250981509062e+14,7.602615302723428125e+13
3.728569385421796056e+01,1.305803440910229062e+14,5.780700173770455469e+13
3.000142708605296349e+01,5.383894177720299219e+13,2.791344512270643359e+13
5.527672015469873656e+01,1.841493544047568125e+14,6.414966171524692969e+13
4.244802042100840112e+01,1.280794238776113281e+14,5.204864799225781250e+13
2.732846884461358172e+01,1.228427796803228906e+14,6.852934838295365625e+13
3.029785898763491048e+01,2.392596648290814375e+14,1.231163266217338906e+14
2.778839353982720795e+01,4.599227700862667188e+13,2.531754883388972656e+13
3.385159210786202522e+01,1.193269906885938594e+14,5.654297285905721094e+13
8.397987311134991728e+01,6.908160291250347500e+14,1.989246923855032188e+14
6.131107139511604487e+01,2.870617978784880000e+14,9.482658606756214062e+13
3.799791511257503629e+01,1.902545647168455000e+14,8.314508082877125000e+13
3.162657699128351041e+01,1.754964135901134062e+14,8.742172535770300000e+13
3.849900072952207353e+01,2.135277073966669062e+14,9.249385524454007812e+13
5.529305329775505840e+01,3.742280658664834375e+14,1.303443555082345000e+14
2.828925369292147707e+01,1.060111337468777188e+14,5.753592611138885156e+13
5.188045565165428741e+01,2.516757112008098438e+14,9.075284070823735938e+13
4.710834920222943367e+01,1.744137445040814375e+14,6.648320501144661719e+13
2.894071811452174003e+01,9.976690070028385938e+13,5.318755144263216406e+13
4.725763271658886566e+01,4.181847719403931250e+14,1.591050277441324375e+14
2.973494070537056899e+01,9.715193421496846875e+13,5.071657174227756250e+13
9.041468620235593789e+01,4.194635264490246250e+14,1.175346026627548125e+14
2.752948079294451844e+01,1.532452473745460625e+14,8.498965717299143750e+13
5.153024786826418335e+01,6.033558457309438750e+14,2.183905569767922188e+14
3.277982113606994119e+01,6.241677535413975781e+13,3.027754024382862500e+13
3.297491197050553069e+01,2.248809238358161250e+14,1.086129452037510000e+14
3.590712083769053464e+01,1.486172021827089688e+14,6.753097469015251562e+13
3.071583644312936912e+01,1.967781002442650312e+14,1.002053748635344688e+14
2.822573162489292642e+01,3.470034031258787500e+13,1.886654647302039453e+13
3.125588895620023067e+01,1.776493587502715938e+14,8.928053496227931250e+13
3.486530073916127037e+01,1.284540176212603281e+14,5.959402172023200781e+13
6.064552161542086850e+01,2.722190562508259375e+14,9.041088508287753125e+13
4.160283068777249582e+01,2.017486249040346875e+14,8.304619628537470312e+13
3.543968197068106463e+01,1.807745446578339062e+14,8.290258311866384375e+13
3.744026269279572716e+01,6.784428008971033594e+13,2.994926087568481250e+13
2.728456227287454894e+01,2.071105878389370625e+14,1.156882940044618125e+14
1.005683522173759314e+02,3.822423962458541250e+14,1.032862963672743438e+14
2.547621861030879131e+01,8.337523384859376562e+13,4.924771670908400000e+13
3.034014923389189988e+01,2.462716762024449375e+14,1.265895556690966719e+14
2.733019355584541188e+01,1.445514882514908125e+14,8.063573664906771875e+13
3.371437803267245670e+01,2.622654384883545312e+14,1.246397770809168750e+14
3.843790362719828124e+01,2.737098801848766562e+14,1.186898131053010000e+14
3.273115114896008748e+01,1.100488301888448125e+14,5.344153568468033594e+13
2.508976036886060967e+01,3.626121631356835938e+13,2.169189530473705469e+13
2.539440370281630877e+01,1.344721903551222812e+14,7.964109712365854688e+13
8.196934834791561286e+01,4.179506819197607500e+14,1.214819757217783438e+14
2.839497951167958334e+01,8.727539225804425000e+13,4.722823370124358594e+13
2.935089002280562553e+01,2.015393748177902188e+14,1.062735962194770156e+14
2.665487561499238467e+01,2.686078672720825312e+14,1.528921653881360625e+14
5.302127215808894789e+01,3.788570964600515000e+14,1.349817857630779844e+14
3.273986429587165503e+01,1.636497178407709062e+14,7.945546637071943750e+13
2.767806765747823050e+01,1.002050106168011406e+14,5.533531508134735156e+13
7.107304693932194084e+01,4.198929763264061875e+14,1.294766097308032812e+14
2.600105157197771533e+01,8.724710934292623438e+13,5.067690209297075781e+13
3.190388365312858099e+01,8.533257976284157812e+13,4.223142913623989844e+13
3.240160175001177834e+01,8.770918259233751562e+13,4.291192407564363281e+13
2.722712606251484146e+01,1.523680753133464688e+14,8.525420830820862500e+13
2.631288773970733175e+01,1.241807927074733281e+14,7.143002910727051562e+13
3.166570291837508933e+01,1.468243258431608438e+14,7.307142269480393750e+13
2.942753749731413393e+01,6.873358523564315625e+13,3.617064027343509375e+13
2.615144929717013511e+01,1.161368739636814688e+14,6.713959861956840625e+13
3.193844908889874290e+01,1.524818542892558438e+14,7.540304459041584375e+13
2.831472518162154373e+01,1.049512989521833906e+14,5.692027340556549219e+13
2.778555895092563688e+01,6.514097488325489844e+13,3.586131890418626562e+13
4.260872728267394649e+01,2.476334137816382500e+14,1.003919164672488750e+14
3.267660959754359595e+01,1.008101868074421875e+14,4.901518412988510156e+13
3.846061291805384741e+01,1.684209320032048125e+14,7.300394268214221875e+13
6.806104384629055915e+01,3.249944942775998125e+14,1.021727665496968281e+14
2.903865253005802671e+01,5.798420866575642969e+13,3.083104323945950000e+13
2.695945752771944015e+01,1.014084004135273906e+14,5.719388583952982812e+13
3.631614069812860635e+01,1.815567195211793750e+14,8.184921429825710938e+13
3.418236475731441715e+01,2.568673272841431562e+14,1.208664939912135625e+14
5.518717135090896164e+01,9.814927744990032812e+13,3.422049880158283594e+13
3.079072246185741335e+01,1.207165690450817969e+14,6.135908619191870312e+13
3.795173628469622429e+01,1.318526642325796875e+14,5.766981303086579688e+13
4.970075001059043984e+01,2.935773089051959375e+14,1.084609627901732344e+14
2.754097476139170553e+01,9.656699203801762500e+13,5.353809225638742969e+13
1.131642724131817914e+02,4.554998328557436250e+14,1.186953577478962188e+14
3.696902946929095890e+01,2.709085990137285938e+14,1.206340525098998594e+14
2.788311140269543031e+01,6.828346370049376562e+13,3.748669055461144531e+13
5.698173498373532908e+01,2.443690127526071250e+14,8.377670559028145312e+13
3.758655122401644633e+01,1.879333881444543438e+14,8.274089791810476562e+13
3.435721706693501432e+01,7.394419842530553125e+13,3.466656267766395703e+13
4.649432591760879063e+01,1.807061710249384062e+14,6.942312884267807031e+13
1.176905579984695009e+02,5.553258566121368125e+14,1.430987802947785625e+14
3.681403460403802796e+01,2.076175426330259688e+14,9.271906622326096875e+13
2.521853749836473213e+01,5.334475203229685938e+13,3.177596603773861328e+13
3.257909813793176568e+01,1.827273701243596562e+14,8.904009248515068750e+13
2.885335667530520709e+01,2.073089965433465312e+14,1.107816663709379688e+14
3.639499616030716567e+01,1.735337717363804375e+14,7.811446795004851562e+13
4.084454592630673631e+01,2.879959982775641875e+14,1.199660576383784219e+14
3.794827118512069575e+01,1.380685884569203906e+14,6.039227935999764844e+13
2.815009354587712664e+01,5.545948644276371094e+13,3.021732000465503125e+13
3.034168737508366220e+01,1.010113364572521562e+14,5.192024267678159375e+13
1.265839241969261906e+02,4.676157207196063125e+14,1.181495431416442344e+14
3.491601753500678740e+01,1.360057362336445156e+14,6.303234692978548438e+13
3.110156835044815438e+01,2.433036669306098125e+14,1.227330273338845938e+14
6.029072398191448201e+01,2.860480805748501250e+14,9.528207412532728125e+13
8.000694231250616895e+01,2.151569130291976562e+14,6.313761581536725781e+13
2.788343186302541099e+01,2.415453412300261875e+14,1.326038879626683906e+14
4.544253149749822995e+01,2.148057174980964375e+14,8.367129258845717188e+13
4.895258330595692087e+01,1.805260097580612188e+14,6.728011609462503125e+13
3.495055973275647432e+01,7.315748113836465625e+13,3.388128981433180859e+13
5.313986439201346457e+01,2.800239329283769375e+14,9.964678215635389062e+13
5.726181526406581668e+01,2.819551009984246875e+14,9.641622555441642188e+13
3.595528167529965202e+01,1.302427313206031875e+14,5.912623287020953906e+13
4.084058627829443111e+01,9.110810523809354688e+13,3.795389139901212500e+13
2.806102687917329064e+01,1.297161346163905000e+14,7.085389868781031250e+13
6.371120820894903147e+01,2.533864297811980312e+14,8.215466423389173438e+13
3.334997049659975943e+01,2.046636797156845000e+14,9.803541217274375000e+13
3.278862879233481920e+01,2.297535564819545312e+14,1.114283751729865156e+14
2.639288878921373893e+01,6.248885698048166406e+13,3.585540938754591406e+13
3.767071305193621811e+01,2.961092870230264375e+14,1.301685623263167031e+14
2.970960994307384695e+01,7.386096990593343750e+13,3.858325900267290625e+13
3.950318974018092888e+01,1.813414329468272500e+14,7.721243468476698438e+13
1.322605830654001124e+02,1.004208027441767875e+15,2.509050410863350938e+14
3.374845853626851522e+01,1.731556971614024062e+14,8.223085536708365625e+13
3.804531480438761548e+01,2.302278127287301250e+14,1.005292273236487031e+14
2.598373405882185594e+01,3.148193767449160938e+13,1.829606308607820703e+13
3.038293178539004202e+01,7.001767682347335156e+13,3.595207355484160156e+13
3.571176528053353394e+01,1.856152868679204062e+14,8.466583978651375000e+13
3.285120614381072102e+01,8.955261809410600000e+13,4.337144640962582812e+13
2.571446618333859035e+01,1.387113257927944844e+14,8.130651579914190625e+13
3.590805380037417649e+01,4.144134984692690625e+14,1.883041680996449062e+14
8.976601565914734238e+01,5.310696627142838750e+14,1.491919679098912812e+14
5.310172372452200307e+01,2.317585103855681875e+14,8.250391776677571875e+13
3.247316485430310706e+01,8.244655809299785938e+13,4.027149701446622656e+13
3.777388978718317247e+01,3.901346881070132500e+14,1.711827446627690938e+14
2.836847658302345820e+01,1.324926037452316250e+14,7.174987897654312500e+13
7.141832491684860429e+01,2.816053079245893750e+14,8.665045774762415625e+13
1.069112527497028111e+02,5.092226893054639375e+14,1.349663031436045469e+14
2.790456178589107950e+01,1.857363827098132500e+14,1.019044638252630000e+14
6.946800151386308642e+01,3.714018456114098750e+14,1.156896847883285469e+14
3.031891506633484923e+01,3.605841828151451562e+13,1.854480669995247656e+13
3.978290484695885709e+01,2.650110011503210312e+14,1.123122503654723281e+14
3.011964939945539044e+01,7.579644902763531250e+13,3.917920511318848438e+13
3.015674515620081664e+01,1.725007183217233750e+14,8.908162618439828125e+13
3.640784838242764465e+01,3.183043368330749375e+14,1.432463383227391875e+14
6.080161354666877571e+01,3.370100078824163125e+14,1.117867660064754375e+14
7.194014899517213735e+01,3.952137963298900000e+14,1.212224054808417969e+14
4.467257169003905659e+01,2.824578523740179375e+14,1.111789938419185469e+14
2.851562016188258752e+01,6.301190361283128125e+13,3.398466384691038281e+13
3.072364161335915256e+01,1.141465444853010312e+14,5.811567273737240625e+13
4.001645147945782810e+01,1.639159954719275938e+14,6.920053062923959375e+13
2.907043010544865425e+01,1.135211759824913281e+14,6.030940567996659375e+13
7.992214014002857425e+01,3.467643014009108750e+14,1.018006786716722188e+14
7.161001565544917469e+01,4.268615165243503750e+14,1.311922726508053594e+14
2.701216317556835023e+01,8.638076647766646875e+13,4.864169913886983594e+13
1.147437921960495828e+02,4.549768657883665625e+14,1.180856110127471406e+14
3.809655357164179890e+01,1.321120230834117344e+14,5.763430659875969531e+13
3.193033452291499330e+01,1.192485995861674375e+14,5.898018942692315625e+13
2.664855958125910007e+01,9.398264906863289062e+13,5.350540264592045312e+13
3.845571959338335688e+01,9.606040565327314062e+13,4.164202777296759375e+13
5.503613700396257968e+01,2.176608116059856562e+14,7.600014589106606250e+13
2.861191542337201454e+01,6.404221431737197656e+13,3.444896205745246484e+13
2.722055525915893526e+01,7.181466471552050000e+13,4.019010849164065625e+13
2.542445718441167557e+01,5.113441098951455469e+13,3.025470074836824219e+13
3.021083749368228055e+01,1.326520864815575000e+14,6.840935255799294531e+13
7.380327389602905441e+01,3.331752180363424375e+14,1.010750448502222188e+14
2.708635551907490679e+01,2.112321436709146562e+14,1.186839843834363906e+14
9.190994451177230928e+01,3.303819632929456875e+14,9.203600494774951562e+13
5.452248087546366406e+01,1.725867831636433750e+14,6.056527518016144531e+13
5.384103923668138947e+01,1.986922734872340625e+14,7.020156119390587500e+13
2.728433341706682924e+01,7.555376026116929688e+13,4.220327194489449219e+13
4.491423087757133459e+01,9.490023043782598438e+13,3.723044284301153125e+13
3.429298636415345669e+01,2.111186620238538750e+14,9.910967956352251562e+13
2.640250265066972091e+01,3.855409775846726562e+13,2.211535238322155469e+13
3.585934628565691895e+01,2.638676248989518438e+14,1.200120456652042656e+14
4.712710448709866995e+01,2.185456796595631875e+14,8.328576322817257812e+13
2.515241220205619754e+01,1.488296482926392812e+14,8.884721098094646875e+13
2.533842933748727333e+01,7.745076278075051562e+13,4.595409373916635938e+13
3.211858240902396489e+01,1.768378080282992188e+14,8.708233952509409375e+13
3.890230423446838159e+01,1.761166268559951250e+14,7.575702115145907812e+13
2.768271282466193739e+01,1.372848246280344375e+14,7.580142631984439062e+13
5.438066884348302210e+01,2.552570571696339375e+14,8.970208610261773438e+13
2.832955857553989887e+01,2.542049944985894062e+14,1.378109692281574531e+14
2.712092808912745312e+01,5.239590386665596875e+13,2.940922614291729688e+13
3.987072414986140956e+01,1.414900791011805000e+14,5.987664962461490625e+13
2.694629815744496071e+01,8.408697210906276562e+13,4.744336266068164062e+13
2.978893098538195616e+01,1.069770577397611562e+14,5.576758568564289062e+13
2.838796565210837741e+01,9.397749751865668750e+13,5.086491463632929688e+13
2.951653452974455405e+01,1.965572257649645625e+14,1.031954755629165469e+14
3.039218327569970057e+01,1.535083828728244375e+14,7.880385273319820312e+13
5.734875461270954844e+01,4.378029265199278750e+14,1.495915697385060000e+14
3.140982062518107654e+01,1.039210222506703125e+14,5.203467722774082812e+13
4.429649248729174360e+01,1.495127335326155625e+14,5.915764153263479688e+13
4.395072154399255737e+01,3.160991631706935625e+14,1.256796682079952188e+14
3.019667712284570982e+01,1.051205382870630938e+14,5.423064827332503906e+13
1.295838034544500204e+02,8.587592848782385000e+14,2.156724347083708125e+14
3.045970936666905615e+01,1.416602582580240625e+14,7.259861813456407812e+13
2.832193206713197497e+01,2.331911315248365625e+13,1.264456765825720703e+13
3.341413430553250663e+01,4.662450443729021094e+13,2.230226421077595703e+13
3.376631692313281974e+01,5.444534740840271250e+14,2.584595467400817500e+14
3.621172143246651132e+01,2.321307747587033125e+14,1.048588960364609062e+14
3.009701650850239929e+01,1.498410986298432812e+14,7.749754429666006250e+13
2.832836943371549410e+01,1.127658779320988438e+14,6.113526434149376562e+13
5.947040316643110458e+01,4.093848690103670625e+14,1.373064386617891250e+14
3.349591465022751180e+01,1.049581832889082031e+14,5.011633967016738281e+13
2.789962548395162401e+01,2.224153527826865938e+14,1.220455703244429531e+14
2.531745730233687297e+01,1.025902030754419062e+14,6.091194041950546875e+13
3.595260396240229994e+01,1.203253257729634375e+14,5.462687785940124219e+13
5.190033301622185036e+01,2.939107790798615625e+14,1.059599721725101250e+14
4.866635435624529293e+01,1.562999214431605000e+14,5.844989267992075000e+13
3.408315704324663642e+01,1.301578892113421875e+14,6.137273209474600000e+13
2.641973818255433670e+01,4.950552197524525000e+13,2.838221257915689062e+13
7.269670276085447824e+01,4.927364060656448125e+14,1.504519306216707500e+14
3.495545969819136900e+01,2.386110996675766562e+14,1.104965189889882500e+14
3.277988966292908657e+01,4.693585378359012500e+13,2.276791794015654688e+13
7.634741577780523869e+01,5.103004381497415625e+14,1.526213625670160938e+14
4.138313074979775052e+01,1.498438494513650312e+14,6.189111178286013281e+13
2.829800876700805290e+01,2.258819702747208125e+14,1.225640555677570000e+14
2.510828479585618211e+01,6.778840698278933594e+13,4.052694714563224219e+13
3.842000604106705453e+01,3.114887747298906875e+14,1.351143918056853125e+14
4.112871146963157116e+02,3.999687231068072500e+15,8.482243828415288750e+14
1.090781213858088705e+02,8.946228041224832500e+14,2.356728671480928438e+14
8.473318006958702142e+01,4.025357072634550625e+14,1.155195937871100625e+14
4.505034125693224922e+01,3.419106079704793750e+14,1.338872000317073438e+14
2.547312109399356927e+01,4.201922804518050000e+13,2.482222819459844531e+13
4.993454816095449189e+01,1.472414980380249375e+14,5.425184848694570312e+13
4.807000237959724842e+01,1.894379146252544375e+14,7.135400059710865625e+13
2.638773131915861114e+01,1.419768147974740938e+14,8.147767908805185938e+13
3.524853501811754342e+01,1.162128372680631094e+14,5.349865490744914844e+13
2.947300453848603397e+01,1.944979829130640000e+14,1.022310697230682500e+14
6.879804737138540816e+01,3.497656271967594375e+14,1.094253851220257969e+14
3.062025425917648036e+01,9.120282720997923438e+13,4.655333229742850000e+13
4.287697729210396602e+01,1.335690659357947656e+14,5.393522774809589844e+13
3.880094347680902445e+01,1.921649792564047188e+14,8.280472855212531250e+13
2.609820502031588418e+01,1.157827012628586406e+14,6.704652012428261719e+13
3.911441484907316379e+01,1.584330362118089062e+14,6.790337601011776562e+13
3.300345892662195268e+01,1.288187879560613281e+14,6.217746411270157812e+13
3.297664864760360359e+01,1.090069515228704531e+14,5.264612579052035938e+13
2.988011196759968158e+01,1.666771359024950938e+14,8.668528368438185938e+13
5.660632178270381587e+01,4.583207278115118125e+14,1.576686130043357500e+14
4.327357845201210296e+01,2.020020676510459062e+14,8.109740492733887500e+13
3.056779258607275551e+01,1.543313709979247188e+14,7.887930473915221875e+13
4.985922806421817199e+01,2.695516847300012812e+14,9.940339328418912500e+13
2.724132764408381746e+01,6.764709120503341406e+13,3.783459545229339844e+13
